nome,construto1,construto2,construto3,construto4,construto5,construto6,construto7,construto8
AOL Favorável, Atenção,Atenção concentrada, atenção dividida, atenção alternada ,,,,
As Pirâmides Coloridas de Pfister Favorável,Personalidade,,,,,,,
Avaliação dos Interesses Profissionais (AIP) Favorável,Interesses/Motivações/Necessidades/Expectativas,,,,,,,
Bateria de Avaliação para Seleção - eletrônica (BASe) Favorável, Atenção,Inteligência ,Memória, Atenção concentrada, atenção dividida, atenção alternada ,,
Bateria de Funções Mentais para Motorista - Teste de Atenção Concentrada (BFM - 4 ) Favorável, Atenção,Atenção concentrada ,,,,,,
Bateria de Funções Mentais para Motorista - Teste de Memória (BFM - 2) Favorável,memória,,,,,,,
Bateria de Funções Mentais para Motorista - Teste de Raciocínio Lógico (BFM-3) Favorável,raciocínio lógico,,,,,,,
Bateria de Funções Mentais para Motorista - Testes de Atenção - 2a. edição (BFM-1) Favorável, Atenção,Atenção concentrada, difusa e discriminativa ,,,,,
Bateria de Provas de Raciocínio (BPR-5) Favorável,Raciocínio,,,,,,,
Bateria Fatorial de Personalidade (BFP) Favorável,Personalidade,,,,,,,
Bateria Geral de Funções Mentais - Teste de Memória de Reconhecimento (BGFM - 4) Favorável,memória de reconhecimento,,,,,,,
Bateria Geral de Funções Mentais - Testes de Atenção Concentrada (BGFM-2) Favorável, Atenção,atenção concentrada ,,,,,,
Bateria Geral de Funções Mentais - Testes de Atenção Difusa ( BGFM-1) Favorável, Atenção,Atenção Difusa ,,,,,,
Bateria Online de Inteligência Emocional (BOLIE) Favorável, Habilidades/Competências,Inteligência ,,,,,,
Bateria Psicológica para Avaliação da Atenção (BPA) Favorável, Atenção,Atenção geral - atenção concentrada, atenção dividida e atenção alternada ,,,,,
Bateria Psicológica para Avaliação da Atenção-2 (BPA-2) Favorável,Atenção,,,,,,,
Bateria Rotas de Atenção (Rotas) Favorável, Atenção,Processos perceptivos/cognitivos ,Atenção geral - atenção concentrada, atenção divida e atenção alternada ,,,,
Casa - Árvore- Pessoa - Técnica Projetiva de Desenho (HTP) Favorável,Personalidade,,,,,,,
Coleção de Testes de Atenção (CTA) Favorável, Atenção,Atenção Concentrada, Atenção Alternada e Atenção Dividida ,,,,,
Core Drivers Diagnostic - versão brasileira (CDD) Favorável,Personalidade,,,,,,,
Desenho da figura humana. Avaliação do desenvolvimento cognitivo infantil (DFH IV) Favorável,Desenvolvimento,,,,,,,
Escala de Inteligência Wechsler para Crianças - 4ª edição (WISC-IV) Favorável,Inteligência,,,,,,,
Escala Baptista de Depressão - Versão Adulto (EBADEP-A) Favorável,Depressão,,,,,,,
Escala Baptista de Depressão - versão idosos (EBADEP-ID) Favorável, Crenças/Valores/Atitudes,Processos afetivos/emocionais,Processos perceptivos/cognitivos ,Saúde Mental e Psicopatologia  ,,,,
Escala Baptista de Depressão - versão Infanto-Juvenil (EBADEP-IJ) Favorável, Processos afetivos/emocionais,Saúde Mental e Psicopatologia  ,,,,,,
Escala Baptista de Depressão - versão saúde (EBADEP-Saúde) Favorável,Saúde Mental e Psicopatologia,,,,,,,
Escala Brasileira de Burnout (EBBurn) Favorável, Processos afetivos/emocionais,Saúde Mental e Psicopatologia  ,,,,,,
Escala de Atenção Seletiva Visual (EASV) Favorável, Atenção,Atenção Seletiva visual ,,,,,,
"Escala de Autenticidade, Agressividade e Inibição (EdAAI) Favorável ", Assertividade (Autenticidade, Agressividade e Inibição) ,,,,,,
Escala de Autoeficácia no Trabalho (EAE-T) Favorável,Crenças/Valores/Atitudes,,,,,,,
Escala de Autoeficácia para Escolha Profissional (EAE-EP) Favorável,autoeficácia,,,,,,,
Escala de Avaliação da Impulsividade - Formas A e B (EsAvI-A e EsAvI-B) Favorável,impulsividade,,,,,,,
Escala de avaliação da motivação para aprender de alunos do ensino fundamental (EMA-EF) Favorável,Interesses/Motivações/Necessidades/Expectativas,,,,,,,
Escala de Avaliação Tipológica (EAT) Favorável,Personalidade,,,,,,,
Escala de Desesperança BECK (BHS) (BHS) Favorável, Crenças/Valores/Atitudes,Processos afetivos/emocionais,Processos perceptivos/cognitivos ,Saúde Mental e Psicopatologia  ,,,,
ESCALA DE DESREGULAÇÃO EMOCIONAL ADULTOS E ESCALA DE DESREGULAÇÃO EMOCIONAL INFANTOJUVENIL (EDEA e EDEIJ) Favorável, Habilidades/Competências,Processos afetivos/emocionais ,,,,,,
Escala de Empregabilidade Favorável,Potencial de empregabilidade,,,,,,,
Escala de Ideação Suicida Beck (BSS) (BSS) Favorável,Saúde Mental e Psicopatologia,,,,,,,
ESCALA DE IDENTIFICAÇÃO DE CARACTERÍSTICAS ASSOCIADAS ÀS ALTAS HABILIDADES/SUPERDOTAÇÃO ? AUTORRELATO (EICAH/SD) Favorável, Aprendizagem ,Crenças/Valores/Atitudes,Habilidades/Competências,Inteligência ,Interesses/Motivações/Necessidades/Expectativas     ,Processos afetivos/emocionais,Processos perceptivos/cognitivos ,
Escala de Inteligência Wechsler Abreviada (WASI) Favorável,Inteligência,,,,,,,
Escala de Inteligência Wechsler para Adultos (WAIS III) Favorável,Inteligência,,,,,,,
Escala de Matrizes de Vienna - 2 Versão Informatizada (WMT-2) Favorável,Inteligência,,,,,,,
Escala de Maturidade Mental Colúmbia Edição Brasileira Revisada (CMMS 3) Favorável, Habilidades/Competências,Inteligência ,Processos Neuropsicológicos    ,,,,,
Escala de Maturidade para a Escolha Profissional 2a. edição (EMEP) Favorável,Maturidade para escolha profissional,,,,,,,
Escala de Motivação para a Aprendizagem (EMAPRE) Favorável,motivação para aprendizagem,,,,,,,
